"Time (s) Run #7","Voltage, Ch A (V) Run #7","Current, Ch D (A) Run #7","Charge (C) Run #7"
10.510,,,-0.15
10.511,10.150,-5.684E-4,
10.511,,,-0.15
10.511,10.151,-3.902E-4,
10.511,,,-0.15
10.512,10.151,-4.048E-4,
10.512,,,-0.15
10.512,10.154,-4.585E-4,
10.512,,,-0.15
10.513,10.152,-7.637E-4,
10.513,,,-0.15
10.513,10.152,-5.940E-4,
10.513,,,-0.15
10.514,10.152,-8.516E-4,
10.514,,,-0.15
10.514,10.152,-9.541E-4,
10.514,,,-0.15
10.515,10.153,-9.907E-4,
10.515,,,-0.15
10.515,10.153,-7.393E-4,
10.515,,,-0.15
10.516,10.153,-0.001,
10.516,,,-0.15
10.516,10.153,-8.565E-4,
10.516,,,-0.15
10.517,10.154,-0.001,
10.517,,,-0.15
10.517,10.153,-9.517E-4,
10.517,,,-0.15
10.518,10.152,-0.001,
10.518,,,-0.15
10.518,10.154,-0.001,
10.518,,,-0.15
10.519,10.154,-0.001,
10.519,,,-0.15
10.519,10.154,-0.001,
10.519,,,-0.15
10.520,10.155,-9.480E-4,
10.520,,,-0.15
10.520,10.153,-6.563E-4,
10.520,,,-0.15
10.521,10.153,-7.661E-4,
10.521,,,-0.15
10.521,10.154,-9.773E-4,
10.521,,,-0.15
10.522,10.154,-8.345E-4,
10.522,,,-0.15
10.522,10.154,-8.076E-4,
10.522,,,-0.15
10.523,10.153,-7.075E-4,
10.523,,,-0.15
10.523,10.155,-5.208E-4,
10.523,,,-0.15
10.524,10.154,-5.403E-4,
10.524,,,-0.15
10.524,10.154,-4.036E-4,
10.524,,,-0.15
10.524,10.153,-3.841E-4,
10.525,,,-0.15
10.525,10.153,-5.611E-4,
10.525,,,-0.15
10.526,10.154,-3.657E-4,
10.526,,,-0.15
10.526,10.154,-4.634E-4,
10.526,,,-0.15
10.527,10.152,-4.182E-4,
10.527,,,-0.15
10.527,10.153,-4.964E-4,
10.527,,,-0.15
10.528,10.152,-4.634E-4,
10.528,,,-0.15
10.528,10.152,-6.001E-4,
10.528,,,-0.15
10.529,10.153,-4.219E-4,
10.529,,,-0.15
10.529,10.154,-6.990E-4,
10.529,,,-0.15
10.530,10.154,-6.514E-4,
10.530,,,-0.15
10.530,10.152,-7.869E-4,
10.530,,,-0.15
10.531,10.154,-0.001,
10.531,,,-0.15
10.531,10.153,-9.334E-4,
10.531,,,-0.15
10.532,10.154,-7.283E-4,
10.532,,,-0.15
10.532,10.153,-0.001,
10.532,,,-0.15
10.533,10.154,-9.260E-4,
10.533,,,-0.15
10.533,10.153,-0.001,
10.533,,,-0.15
10.534,10.154,-9.676E-4,
10.534,,,-0.15
10.534,10.153,-0.001,
10.534,,,-0.15
10.535,10.153,-0.001,
10.535,,,-0.15
10.535,10.154,-0.001,
10.535,,,-0.15
10.536,10.155,-0.001,
10.536,,,-0.15
10.536,10.155,-0.001,
10.536,,,-0.15
10.537,10.154,-0.001,
10.537,,,-0.15
10.537,10.154,-0.001,
10.537,,,-0.15
10.538,10.154,-7.710E-4,
10.538,,,-0.15
10.538,10.155,-5.989E-4,
10.538,,,-0.15
10.539,10.153,-9.199E-4,
10.539,,,-0.15
10.539,10.154,-7.283E-4,
10.539,,,-0.15
10.540,10.153,-5.952E-4,
10.540,,,-0.15
10.540,10.153,-6.551E-4,
10.540,,,-0.15
10.541,10.153,-2.156E-4,
10.541,,,-0.15
10.541,10.154,-6.343E-4,
10.541,,,-0.15
10.542,10.154,-2.754E-4,
10.542,,,-0.15
10.542,10.154,-5.684E-4,
10.542,,,-0.15
10.543,10.153,-4.060E-4,
10.543,,,-0.15
10.543,10.153,-3.377E-4,
10.543,,,-0.15
10.544,10.153,-3.487E-4,
10.544,,,-0.15
10.544,10.153,-5.843E-4,
10.544,,,-0.15
10.545,10.153,-5.391E-4,
10.545,,,-0.15
10.545,10.153,-6.001E-4,
10.545,,,-0.15
10.546,10.153,-5.647E-4,
10.546,,,-0.15
10.546,10.153,-7.649E-4,
10.546,,,-0.15
10.547,10.154,-7.539E-4,
10.547,,,-0.15
10.547,10.154,-6.294E-4,
10.547,,,-0.15
10.547,10.155,-6.538E-4,
10.548,,,-0.15
10.548,10.155,-0.001,
10.548,,,-0.15
10.549,10.154,-0.001,
10.549,,,-0.15
10.549,10.154,-0.001,
10.549,,,-0.15
10.550,10.154,-0.001,
10.550,,,-0.15
10.550,10.154,-0.001,
10.550,,,-0.15
10.551,10.153,-0.001,
10.551,,,-0.15
10.551,10.155,-0.001,
10.551,,,-0.15
10.552,10.154,-0.001,
10.552,,,-0.15
10.552,10.154,-0.001,
10.552,,,-0.15
10.553,10.157,-9.407E-4,
10.553,,,-0.15
10.553,10.153,-0.001,
10.553,,,-0.15
10.554,10.154,-9.651E-4,
10.554,,,-0.15
10.554,10.154,-8.565E-4,
10.554,,,-0.15
10.555,10.154,-7.490E-4,
10.555,,,-0.15
10.555,10.155,-8.052E-4,
10.555,,,-0.15
10.556,10.155,-7.808E-4,
10.556,,,-0.15
10.556,10.154,-8.943E-4,
10.556,,,-0.15
10.557,10.155,-4.573E-4,
10.557,,,-0.15
10.557,10.155,-5.342E-4,
10.557,,,-0.15
10.558,10.155,-3.719E-4,
10.558,,,-0.15
10.558,10.155,-3.950E-4,
10.558,,,-0.15
10.559,10.153,-6.709E-4,
10.559,,,-0.15
10.559,10.153,-6.111E-4,
10.559,,,-0.15
10.560,10.154,-3.914E-4,
10.560,,,-0.15
10.560,10.153,-2.217E-4,
10.560,,,-0.15
10.561,10.153,-5.806E-4,
10.561,,,-0.15
10.561,10.153,-5.171E-4,
10.561,,,-0.15
10.562,10.154,-7.796E-4,
10.562,,,-0.15
10.562,10.152,-4.951E-4,
10.562,,,-0.15
10.563,10.154,-9.053E-4,
10.563,,,-0.15
10.563,10.154,-6.880E-4,
10.563,,,-0.15
10.564,10.155,-4.988E-4,
10.564,,,-0.15
10.564,10.154,-0.001,
10.564,,,-0.15
10.565,10.155,-7.967E-4,
10.565,,,-0.15
10.565,10.154,-9.627E-4,
10.565,,,-0.15
10.566,10.154,-0.001,
10.566,,,-0.15
10.566,10.155,-0.001,
10.566,,,-0.15
10.566,10.153,-0.001,
10.567,,,-0.15
10.567,10.156,-0.001,
10.567,,,-0.15
10.568,10.155,-9.993E-4,
10.568,,,-0.15
10.568,10.156,-0.001,
10.568,,,-0.15
10.569,10.155,-0.001,
10.569,,,-0.15
10.569,10.155,-0.001,
10.569,,,-0.15
10.570,10.155,-9.932E-4,
10.570,,,-0.15
10.570,10.155,-9.749E-4,
10.570,,,-0.15
10.571,10.155,-9.700E-4,
10.571,,,-0.15
10.571,10.155,-7.747E-4,
10.571,,,-0.15
10.572,10.154,-9.724E-4,
10.572,,,-0.15
10.572,10.155,-6.892E-4,
10.572,,,-0.15
10.573,10.155,-6.734E-4,
10.573,,,-0.15
10.573,10.154,-7.967E-4,
10.573,,,-0.15
10.574,10.154,-5.379E-4,
10.574,,,-0.15
10.574,10.155,-5.098E-4,
10.574,,,-0.15
10.575,10.155,-2.339E-4,
10.575,,,-0.15
10.575,10.156,-6.026E-4,
10.575,,,-0.15
10.576,10.155,-5.379E-4,
10.576,,,-0.15
10.576,10.155,-4.768E-4,
10.576,,,-0.15
10.577,10.155,-4.195E-4,
10.577,,,-0.15
10.577,10.153,-4.781E-4,
10.577,,,-0.15
10.578,10.154,-4.256E-4,
10.578,,,-0.15
10.578,10.154,-6.514E-4,
10.578,,,-0.15
10.579,10.155,-7.674E-4,
10.579,,,-0.15
10.579,10.155,-6.587E-4,
10.579,,,-0.15
10.580,10.155,-5.891E-4,
10.580,,,-0.15
10.580,10.154,-3.267E-4,
10.580,,,-0.15
10.581,10.155,-0.001,
10.581,,,-0.15
10.581,10.155,-7.930E-4,
10.581,,,-0.15
10.582,10.155,-0.001,
10.582,,,-0.15
10.582,10.155,-8.675E-4,
10.582,,,-0.15
10.583,10.154,-0.001,
10.583,,,-0.15
10.583,10.156,-8.723E-4,
10.583,,,-0.15
10.584,10.155,-0.001,
10.584,,,-0.15
10.584,10.155,-0.001,
10.584,,,-0.15
10.585,10.154,-0.001,
10.585,,,-0.15
10.585,10.155,-0.001,
10.585,,,-0.15
10.585,10.156,-0.001,
10.586,,,-0.15
10.586,10.156,-0.001,
10.586,,,-0.15
10.587,10.157,-9.236E-4,
10.587,,,-0.15
10.587,10.156,-8.870E-4,
10.587,,,-0.15
10.588,10.155,-0.001,
10.588,,,-0.15
10.588,10.155,-9.309E-4,
10.588,,,-0.15
10.589,10.155,-7.771E-4,
10.589,,,-0.15
10.589,10.156,-9.138E-4,
10.589,,,-0.15
10.590,10.155,-6.624E-4,
10.590,,,-0.15
10.590,10.157,-5.867E-4,
10.590,,,-0.15
10.591,10.156,-5.037E-4,
10.591,,,-0.15
10.591,10.155,-4.451E-4,
10.591,,,-0.15
10.592,10.155,-3.108E-4,
10.592,,,-0.15
10.592,10.155,-5.977E-4,
10.592,,,-0.15
10.593,10.157,-3.474E-4,
10.593,,,-0.15
10.593,10.154,-2.815E-4,
10.593,,,-0.15
10.594,10.154,-3.902E-4,
10.594,,,-0.15
10.594,10.154,-4.304E-4,
10.594,,,-0.15
10.595,10.156,-4.463E-4,
10.595,,,-0.15
10.595,10.154,-6.844E-4,
10.595,,,-0.15
10.596,10.156,-5.110E-4,
10.596,,,-0.15
10.596,10.155,-8.235E-4,
10.596,,,-0.15
10.597,10.155,-4.719E-4,
10.597,,,-0.15
10.597,10.155,-8.003E-4,
10.597,,,-0.15
10.598,10.155,-7.246E-4,
10.598,,,-0.15
10.598,10.155,-0.001,
10.598,,,-0.15
10.599,10.156,-0.001,
10.599,,,-0.15
10.599,10.155,-9.834E-4,
10.599,,,-0.15
10.600,10.155,-0.001,
10.600,,,-0.15
10.600,10.156,-0.001,
10.600,,,-0.15
10.601,10.154,-9.419E-4,
10.601,,,-0.15
10.601,10.156,-0.001,
10.601,,,-0.15
10.602,10.156,-0.001,
10.602,,,-0.15
10.602,10.157,-0.001,
10.602,,,-0.15
10.603,10.158,-0.001,
10.603,,,-0.15
10.603,10.157,-0.001,
10.603,,,-0.15
10.604,10.156,-9.358E-4,
10.604,,,-0.15
10.604,10.154,-0.001,
10.604,,,-0.15
10.604,10.157,-6.453E-4,
10.605,,,-0.15
10.605,10.155,-9.151E-4,
10.605,,,-0.15
10.606,10.157,-8.223E-4,
10.606,,,-0.15
10.606,10.156,-7.698E-4,
10.606,,,-0.15
10.607,10.156,-6.184E-4,
10.607,,,-0.15
10.607,10.155,-2.400E-4,
10.607,,,-0.15
10.608,10.154,-4.036E-4,
10.608,,,-0.15
10.608,10.155,-4.890E-4,
10.608,,,-0.15
10.608,10.156,-6.563E-4,
10.609,,,-0.15
10.609,10.156,-4.768E-4,
10.609,,,-0.15
10.610,10.155,-4.610E-4,
10.610,,,-0.15
10.610,10.156,-2.254E-4,
10.610,,,-0.15
10.611,10.155,-2.620E-4,
10.611,,,-0.15
10.611,10.154,-5.623E-4,
10.611,,,-0.15
10.612,10.156,-2.766E-4,
10.612,,,-0.15
10.612,10.156,-4.549E-4,
10.612,,,-0.15
10.613,10.157,-7.454E-4,
10.613,,,-0.15
10.613,10.157,-6.795E-4,
10.613,,,-0.15
10.614,10.155,-8.369E-4,
10.614,,,-0.15
10.614,10.156,-7.417E-4,
10.614,,,-0.15
10.615,10.154,-0.001,
10.615,,,-0.15
10.615,10.156,-7.173E-4,
10.615,,,-0.15
10.616,10.155,-0.001,
10.616,,,-0.15
10.616,10.157,-0.001,
10.616,,,-0.15
10.617,10.156,-0.001,
10.617,,,-0.15
10.617,10.156,-9.297E-4,
10.617,,,-0.15
10.618,10.157,-9.517E-4,
10.618,,,-0.15
10.618,10.156,-0.001,
10.618,,,-0.15
10.619,10.158,-0.001,
10.619,,,-0.15
10.619,10.156,-0.001,
10.619,,,-0.15
10.620,10.158,-9.590E-4,
10.620,,,-0.15
10.620,10.156,-9.468E-4,
10.620,,,-0.15
10.621,10.156,-8.760E-4,
10.621,,,-0.15
10.621,10.156,-8.943E-4,
10.621,,,-0.15
10.622,10.156,-7.490E-4,
10.622,,,-0.15
10.622,10.156,-9.029E-4,
10.622,,,-0.15
10.623,10.157,-6.465E-4,
10.623,,,-0.15
10.623,10.156,-5.733E-4,
10.623,,,-0.15
10.624,10.156,-4.793E-4,
10.624,,,-0.15
10.624,10.156,-5.916E-4,
10.624,,,-0.15
10.625,10.157,-3.499E-4,
10.625,,,-0.15
10.625,10.156,-2.876E-4,
10.625,,,-0.15
10.626,10.156,-4.280E-4,
10.626,,,-0.15
10.626,10.157,-3.194E-4,
10.626,,,-0.15
10.627,10.155,-4.304E-4,
10.627,,,-0.15
10.627,10.157,-3.584E-4,
10.627,,,-0.15
10.627,10.156,-5.147E-4,
10.628,,,-0.15
10.628,10.156,-8.467E-4,
10.628,,,-0.15
10.629,10.156,-3.670E-4,
10.629,,,-0.15
10.629,10.156,-8.015E-4,
10.629,,,-0.15
10.630,10.156,-6.392E-4,
10.630,,,-0.15
10.630,10.155,-7.906E-4,
10.630,,,-0.15
10.631,10.157,-6.746E-4,
10.631,,,-0.15
10.631,10.157,-9.773E-4,
10.631,,,-0.15
10.632,10.156,-9.187E-4,
10.632,,,-0.15
10.632,10.156,-0.001,
10.632,,,-0.15
10.633,10.157,-0.001,
10.633,,,-0.15
10.633,10.156,-0.001,
10.633,,,-0.15
10.634,10.156,-8.870E-4,
10.634,,,-0.15
10.634,10.156,-9.932E-4,
10.634,,,-0.15
10.635,10.158,-9.199E-4,
10.635,,,-0.15
10.635,10.158,-0.001,
10.635,,,-0.15
10.636,10.157,-0.001,
10.636,,,-0.15
10.636,10.157,-8.845E-4,
10.636,,,-0.15
10.637,10.157,-0.001,
10.637,,,-0.15
10.637,10.156,-0.001,
10.637,,,-0.15
10.638,10.158,-8.040E-4,
10.638,,,-0.15
10.638,10.156,-8.797E-4,
10.638,,,-0.15
10.639,10.157,-9.578E-4,
10.639,,,-0.15
10.639,10.157,-5.476E-4,
10.639,,,-0.15
10.640,10.156,-5.440E-4,
10.640,,,-0.15
10.640,10.156,-7.661E-4,
10.640,,,-0.15
10.641,10.157,-4.610E-4,
10.641,,,-0.15
10.641,10.156,-4.353E-4,
10.641,,,-0.15
10.642,10.157,-9.841E-5,
10.642,,,-0.15
10.642,10.158,-5.318E-4,
10.642,,,-0.15
10.643,10.157,-3.987E-4,
10.643,,,-0.15
10.643,10.156,-3.621E-4,
10.643,,,-0.15
10.644,10.156,-4.268E-4,
10.644,,,-0.15
10.644,10.155,-3.535E-4,
10.644,,,-0.15
10.645,10.156,-6.844E-4,
10.645,,,-0.15
10.645,10.156,-7.820E-4,
10.645,,,-0.15
10.646,10.157,-3.731E-4,
10.646,,,-0.15
10.646,10.157,-6.795E-4,
10.646,,,-0.15
10.646,10.156,-9.260E-4,
10.647,,,-0.15
10.647,10.156,-6.770E-4,
10.647,,,-0.15
10.648,10.156,-7.576E-4,
10.648,,,-0.15
10.648,10.157,-0.001,
10.648,,,-0.15
10.649,10.157,-0.001,
10.649,,,-0.15
10.649,10.157,-9.773E-4,
10.649,,,-0.15
10.650,10.157,-0.001,
10.650,,,-0.15
10.650,10.157,-0.001,
10.650,,,-0.15
10.651,10.157,-7.637E-4,
10.651,,,-0.15
10.651,10.157,-0.001,
10.651,,,-0.15
10.652,10.158,-0.001,
10.652,,,-0.15
10.652,10.158,-9.688E-4,
10.652,,,-0.15
10.653,10.158,-0.001,
10.653,,,-0.15
10.653,10.158,-9.358E-4,
10.653,,,-0.15
10.654,10.157,-9.907E-4,
10.654,,,-0.15
10.654,10.156,-0.001,
10.654,,,-0.15
10.655,10.156,-7.259E-4,
10.655,,,-0.15
10.655,10.157,-7.698E-4,
10.655,,,-0.15
10.656,10.158,-4.890E-4,
10.656,,,-0.15
10.656,10.158,-4.854E-4,
10.656,,,-0.15
10.657,10.157,-8.455E-4,
10.657,,,-0.15
10.657,10.159,-3.328E-4,
10.657,,,-0.15
10.658,10.156,-4.988E-4,
10.658,,,-0.15
10.658,10.157,-3.328E-4,
10.658,,,-0.15
10.659,10.158,-4.695E-4,
10.659,,,-0.15
10.659,10.157,-5.745E-4,
10.659,,,-0.15
10.660,10.158,-4.903E-4,
10.660,,,-0.15
10.660,10.157,-3.120E-4,
10.660,,,-0.15
10.661,10.156,-4.427E-4,
10.661,,,-0.15
10.661,10.156,-4.890E-4,
10.661,,,-0.15
10.662,10.157,-5.281E-4,
10.662,,,-0.15
10.662,10.157,-3.487E-4,
10.662,,,-0.15
10.663,10.155,-5.244E-4,
10.663,,,-0.15
10.663,10.158,-8.345E-4,
10.663,,,-0.15
10.664,10.156,-0.001,
10.664,,,-0.15
10.664,10.157,-7.552E-4,
10.664,,,-0.15
10.665,10.157,-4.732E-4,
10.665,,,-0.15
10.665,10.158,-7.710E-4,
10.665,,,-0.15
10.665,10.157,-9.297E-4,
10.666,,,-0.15
10.666,10.155,-0.001,
10.666,,,-0.15
10.667,10.157,-0.001,
10.667,,,-0.15
10.667,10.158,-8.809E-4,
10.667,,,-0.15
10.668,10.157,-0.001,
10.668,,,-0.15
10.668,10.158,-0.001,
10.668,,,-0.15
10.669,10.158,-0.001,
10.669,,,-0.15
10.669,10.160,-9.907E-4,
10.669,,,-0.15
10.670,10.158,-9.407E-4,
10.670,,,-0.15
10.670,10.160,-8.150E-4,
10.670,,,-0.15
10.671,10.159,-7.124E-4,
10.671,,,-0.15
10.671,10.158,-8.284E-4,
10.671,,,-0.15
10.672,10.158,-9.492E-4,
10.672,,,-0.15
10.672,10.157,-6.978E-4,
10.672,,,-0.15
10.673,10.157,-5.794E-4,
10.673,,,-0.15
10.673,10.156,-6.648E-4,
10.673,,,-0.15
10.674,10.158,-2.351E-4,
10.674,,,-0.15
10.674,10.158,-5.318E-4,
10.674,,,-0.15
10.675,10.157,-4.842E-4,
10.675,,,-0.15
10.675,10.158,-4.890E-4,
10.675,,,-0.15
10.676,10.157,-5.708E-4,
10.676,,,-0.15
10.676,10.158,-4.048E-4,
10.676,,,-0.15
10.677,10.157,-2.608E-4,
10.677,,,-0.15
10.677,10.156,-5.708E-4,
10.677,,,-0.15
10.678,10.157,-4.634E-4,
10.678,,,-0.15
10.678,10.157,-3.865E-4,
10.678,,,-0.15
10.679,10.158,-5.708E-4,
10.679,,,-0.15
10.679,10.157,-3.975E-4,
10.679,,,-0.15
10.680,10.157,-7.564E-4,
10.680,,,-0.15
10.680,10.157,-6.746E-4,
10.680,,,-0.15
10.681,10.157,-5.659E-4,
10.681,,,-0.15
10.681,10.158,-0.001,
10.681,,,-0.15
10.682,10.157,-7.759E-4,
10.682,,,-0.15
10.682,10.158,-9.383E-4,
10.682,,,-0.15
10.683,10.157,-8.870E-4,
10.683,,,-0.15
10.683,10.158,-0.001,
10.683,,,-0.15
10.684,10.157,-0.001,
10.684,,,-0.15
10.684,10.159,-0.001,
10.684,,,-0.15
10.685,10.158,-0.001,
10.685,,,-0.15
10.685,10.157,-0.001,
10.685,,,-0.15
10.686,10.158,-0.001,
10.686,,,-0.15
10.686,10.159,-9.834E-4,
10.686,,,-0.15
10.687,10.159,-9.639E-4,
10.687,,,-0.15
10.687,10.158,-9.932E-4,
10.687,,,-0.15
10.688,10.157,-0.001,
10.688,,,-0.15
10.688,10.158,-8.040E-4,
10.688,,,-0.15
10.688,10.157,-8.430E-4,
10.689,,,-0.15
10.689,10.158,-7.649E-4,
10.689,,,-0.15
10.690,10.158,-1.558E-4,
10.690,,,-0.15
10.690,10.158,-7.625E-4,
10.690,,,-0.15
10.691,10.157,-5.183E-4,
10.691,,,-0.15
10.691,10.157,-5.879E-4,
10.691,,,-0.15
10.692,10.159,-1.118E-4,
10.692,,,-0.15
10.692,10.158,-5.659E-4,
10.692,,,-0.15
10.693,10.158,-2.119E-4,
10.693,,,-0.15
10.693,10.158,-3.670E-4,
10.693,,,-0.15
10.694,10.157,-4.207E-4,
10.694,,,-0.15
10.694,10.157,-4.280E-4,
10.694,,,-0.15
10.695,10.158,-4.781E-4,
10.695,,,-0.15
10.695,10.157,-8.614E-4,
10.695,,,-0.15
10.696,10.157,-5.269E-4,
10.696,,,-0.15
10.696,10.158,-7.124E-4,
10.696,,,-0.15
10.697,10.157,-8.528E-4,
10.697,,,-0.15
10.697,10.158,-7.942E-4,
10.697,,,-0.15
10.698,10.157,-6.929E-4,
10.698,,,-0.15
10.698,10.159,-6.892E-4,
10.698,,,-0.15
10.699,10.159,-7.466E-4,
10.699,,,-0.15
10.699,10.159,-0.001,
10.699,,,-0.15
10.700,10.159,-0.001,
10.700,,,-0.15
10.700,10.158,-8.760E-4,
10.700,,,-0.15
10.701,10.159,-9.602E-4,
10.701,,,-0.15
10.701,10.158,-0.001,
10.701,,,-0.15
10.702,10.159,-0.001,
10.702,,,-0.15
10.702,10.159,-0.001,
10.702,,,-0.15
10.703,10.159,-9.370E-4,
10.703,,,-0.15
10.703,10.159,-8.076E-4,
10.703,,,-0.15
10.704,10.158,-0.001,
10.704,,,-0.15
10.704,10.160,-7.527E-4,
10.704,,,-0.15
10.705,10.157,-8.760E-4,
10.705,,,-0.15
10.705,10.160,-5.110E-4,
10.705,,,-0.15
10.706,10.157,-5.879E-4,
10.706,,,-0.15
10.706,10.159,-5.672E-4,
10.706,,,-0.15
10.707,10.158,-7.149E-4,
10.707,,,-0.15
10.707,10.159,-3.792E-4,
10.707,,,-0.15
10.707,10.158,-1.631E-4,
10.708,,,-0.15
10.708,10.158,-1.509E-4,
10.708,,,-0.15
10.709,10.159,-6.184E-4,
10.709,,,-0.15
10.709,10.158,-4.256E-4,
10.709,,,-0.15
10.710,10.159,-4.390E-4,
10.710,,,-0.15
10.710,10.157,-3.609E-4,
10.710,,,-0.15
10.711,10.158,-4.060E-4,
10.711,,,-0.15
10.711,10.159,-5.208E-4,
10.711,,,-0.15
10.712,10.158,-5.574E-4,
10.712,,,-0.15
10.712,10.159,-4.671E-4,
10.712,,,-0.15
10.713,10.157,-6.978E-4,
10.713,,,-0.15
10.713,10.160,-7.100E-4,
10.713,,,-0.15
10.714,10.158,-6.062E-4,
10.714,,,-0.15
10.714,10.160,-5.659E-4,
10.714,,,-0.15
10.715,10.159,-0.001,
10.715,,,-0.15
10.715,10.159,-8.980E-4,
10.715,,,-0.15
10.716,10.159,-0.001,
10.716,,,-0.15
10.716,10.158,-0.001,
10.716,,,-0.15
10.717,10.159,-0.001,
10.717,,,-0.15
10.717,10.158,-7.979E-4,
10.717,,,-0.15
10.718,10.159,-0.001,
10.718,,,-0.15
10.718,10.160,-0.001,
10.718,,,-0.15
10.719,10.159,-0.001,
10.719,,,-0.15
10.719,10.159,-0.001,
10.719,,,-0.15
10.720,10.160,-7.527E-4,
10.720,,,-0.15
10.720,10.159,-0.001,
10.720,,,-0.15
10.721,10.159,-8.174E-4,
10.721,,,-0.15
10.721,10.159,-7.942E-4,
10.721,,,-0.15
10.722,10.159,-4.781E-4,
10.722,,,-0.15
10.722,10.158,-0.001,
10.722,,,-0.15
10.723,10.159,-5.757E-4,
10.723,,,-0.15
10.723,10.160,-2.327E-4,
10.723,,,-0.15
10.724,10.160,-3.987E-4,
10.724,,,-0.15
10.724,10.157,-5.073E-4,
10.724,,,-0.15
10.725,10.159,-2.412E-4,
10.725,,,-0.15
10.725,10.160,-3.926E-4,
10.725,,,-0.15
10.726,10.159,-4.854E-4,
10.726,,,-0.15
10.726,10.160,-2.998E-4,
10.726,,,-0.15
10.726,10.158,-4.060E-4,
10.727,,,-0.15
10.727,10.159,-3.682E-4,
10.727,,,-0.15
10.728,10.158,-4.915E-4,
10.728,,,-0.15
10.728,10.158,-6.111E-4,
10.728,,,-0.15
10.729,10.158,-6.526E-4,
10.729,,,-0.15
10.729,10.159,-6.770E-4,
10.729,,,-0.15
10.730,10.160,-5.818E-4,
10.730,,,-0.15
10.730,10.159,-7.649E-4,
10.730,,,-0.15
10.731,10.159,-8.101E-4,
10.731,,,-0.15
10.731,10.159,-8.284E-4,
10.731,,,-0.15
10.732,10.160,-5.720E-4,
10.732,,,-0.15
10.732,10.159,-7.417E-4,
10.732,,,-0.15
10.733,10.160,-8.833E-4,
10.733,,,-0.15
10.733,10.159,-0.001,
10.733,,,-0.15
10.734,10.160,-7.759E-4,
10.734,,,-0.15
10.734,10.158,-8.540E-4,
10.734,,,-0.15
10.735,10.158,-9.627E-4,
10.735,,,-0.15
10.735,10.160,-0.001,
10.735,,,-0.15
10.736,10.161,-9.578E-4,
10.736,,,-0.15
10.736,10.160,-9.370E-4,
10.736,,,-0.15
10.737,10.159,-8.223E-4,
10.737,,,-0.15
10.737,10.160,-0.001,
10.737,,,-0.15
10.738,10.160,-6.905E-4,
10.738,,,-0.15
10.738,10.160,-7.808E-4,
10.738,,,-0.15
10.739,10.159,-0.001,
10.739,,,-0.15
10.739,10.160,-8.113E-4,
10.739,,,-0.15
10.740,10.159,-5.647E-4,
10.740,,,-0.15
10.740,10.160,-2.449E-4,
10.740,,,-0.15
10.741,10.161,-2.473E-4,
10.741,,,-0.15
10.741,10.158,-3.059E-4,
10.741,,,-0.15
10.742,10.160,-2.718E-4,
10.742,,,-0.15
10.742,10.159,-3.560E-4,
10.742,,,-0.15
10.743,10.160,-4.219E-4,
10.743,,,-0.15
10.743,10.159,-4.488E-4,
10.743,,,-0.15
10.744,10.158,-2.986E-4,
10.744,,,-0.15
10.744,10.160,-3.963E-4,
10.744,,,-0.15
10.745,10.158,-6.978E-4,
10.745,,,-0.15
10.745,10.159,-4.073E-4,
10.745,,,-0.15
10.745,10.159,-4.134E-4,
10.746,,,-0.15
10.746,10.160,-7.246E-4,
10.746,,,-0.15
10.747,10.160,-7.490E-4,
10.747,,,-0.15
10.747,10.160,-4.146E-4,
10.747,,,-0.15
10.748,10.161,-0.001,
10.748,,,-0.15
10.748,10.159,-9.358E-4,
10.748,,,-0.15
10.749,10.159,-8.516E-4,
10.749,,,-0.15
10.749,10.161,-9.517E-4,
10.749,,,-0.15
10.749,10.158,-9.566E-4,
10.750,,,-0.15
10.750,10.161,-0.001,
10.750,,,-0.15
10.751,10.159,-0.001,
10.751,,,-0.15
10.751,10.161,-0.001,
10.751,,,-0.15
10.752,10.160,-0.001,
10.752,,,-0.15
10.752,10.161,-9.822E-4,
10.752,,,-0.15
10.753,10.160,-9.993E-4,
10.753,,,-0.15
10.753,10.160,-9.553E-4,
10.753,,,-0.15
10.754,10.161,-6.294E-4,
10.754,,,-0.15
10.754,10.159,-0.001,
10.754,,,-0.15
10.755,10.160,-7.979E-4,
10.755,,,-0.15
10.755,10.159,-7.527E-4,
10.755,,,-0.15
10.756,10.158,-0.001,
10.756,,,-0.15
10.756,10.160,-3.108E-4,
10.756,,,-0.15
10.757,10.161,-3.365E-4,
10.757,,,-0.15
10.757,10.161,-5.061E-4,
10.757,,,-0.15
10.758,10.160,-3.670E-4,
10.758,,,-0.15
10.758,10.160,-2.302E-4,
10.758,,,-0.15
10.759,10.160,-6.160E-4,
10.759,,,-0.15
10.759,10.161,-1.460E-4,
10.759,,,-0.15
10.760,10.160,-2.791E-4,
10.760,,,-0.15
10.760,10.159,-2.315E-4,
10.760,,,-0.15
10.761,10.159,-5.391E-4,
10.761,,,-0.15
10.761,10.160,-5.489E-4,
10.761,,,-0.15
10.762,10.159,-2.913E-4,
10.762,,,-0.15
10.762,10.159,-5.354E-4,
10.762,,,-0.15
10.763,10.159,-5.635E-4,
10.763,,,-0.15
10.763,10.160,-9.358E-4,
10.763,,,-0.15
10.764,10.160,-7.783E-4,
10.764,,,-0.15
10.764,10.161,-7.234E-4,
10.764,,,-0.15
10.765,10.161,-2.083E-4,
10.765,,,-0.15
10.765,10.160,-6.441E-4,
10.765,,,-0.15
